Activity,Average Duration (seconds)
Admission IC,20969.126213592233
Admission NC,25375.864135864136
CRP,5200.171265461465
ER Registration,23205.787709497206
ER Sepsis Triage,21411.995277449823
ER Triage,7402.3843782117165
IV Antibiotics,19862.89156626506
IV Liquid,8731.63179916318
LacticAcid,8595.308823529413
Leucocytes,5024.683195592286
Release A,32962.02764976959
Release B,35497.35849056604
Release C,35470.90909090909
Release D,24829.565217391304
Release E,41910.0
Return ER,27821.877551020407
